pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,balancer,hidden_dim,n_layers,seed
burgers,grid,20.0,0.05,1.0,1.0,100.0,0.36664685425837257,0.014478884637355804,120.0,fixed,50.0,4.0,0
burgers,grid,20.0,0.05,1.0,1.0,200.0,0.21969746424336462,0.020565204322338104,220.0,fixed,50.0,4.0,0
burgers,grid,20.0,0.05,1.0,1.0,300.0,0.3842749379723423,0.05755845457315445,320.0,fixed,50.0,4.0,0
burgers,grid,20.0,0.05,1.0,10.0,100.0,0.32585425845866633,0.012899676337838173,120.0,fixed,50.0,4.0,0
burgers,grid,20.0,0.05,1.0,10.0,200.0,0.47995720647625983,0.01825433410704136,220.0,fixed,50.0,4.0,0
burgers,grid,20.0,0.05,1.0,10.0,300.0,0.5532409803319039,0.016750678420066833,320.0,fixed,50.0,4.0,0
burgers,grid,20.0,0.05,10.0,1.0,100.0,0.44641284952351107,0.029535355046391487,120.0,fixed,50.0,4.0,0
burgers,grid,20.0,0.05,10.0,1.0,200.0,0.44548715412009277,0.04431164637207985,220.0,fixed,50.0,4.0,0
burgers,grid,20.0,0.05,10.0,1.0,300.0,0.22271630987781868,0.0878182202577591,320.0,fixed,50.0,4.0,0
burgers,grid,20.0,0.05,10.0,10.0,100.0,0.3599073018430626,0.0127069978043437,120.0,fixed,50.0,4.0,0
burgers,grid,20.0,0.05,10.0,10.0,200.0,0.6198474509802151,0.03941687196493149,220.0,fixed,50.0,4.0,0
burgers,grid,20.0,0.05,10.0,10.0,300.0,0.30439550350573197,0.01803581602871418,320.0,fixed,50.0,4.0,0
burgers,grid,20.0,0.05,1.0,1.0,100.0,0.20362834259708115,0.0133874686434865,120.0,fixed,50.0,4.0,1
burgers,grid,20.0,0.05,1.0,1.0,200.0,0.2373943979134507,0.0310982558876276,220.0,fixed,50.0,4.0,1
burgers,grid,20.0,0.05,1.0,1.0,300.0,0.4527479571732603,0.08936985582113266,320.0,fixed,50.0,4.0,1
burgers,grid,20.0,0.05,1.0,10.0,100.0,0.3220213933196583,0.03993476927280426,120.0,fixed,50.0,4.0,1
burgers,grid,20.0,0.05,1.0,10.0,200.0,0.5022987772788731,0.02254064753651619,220.0,fixed,50.0,4.0,1
burgers,grid,20.0,0.05,1.0,10.0,300.0,0.5010227023664762,0.01710681989789009,320.0,fixed,50.0,4.0,1
burgers,grid,20.0,0.05,10.0,1.0,100.0,0.6939330281601792,0.02740255557000637,120.0,fixed,50.0,4.0,1
burgers,grid,20.0,0.05,10.0,1.0,200.0,0.26096451488270483,0.08070451021194458,220.0,fixed,50.0,4.0,1
burgers,grid,20.0,0.05,10.0,1.0,300.0,0.3660512842415516,0.04933807626366615,320.0,fixed,50.0,4.0,1
burgers,grid,20.0,0.05,10.0,10.0,100.0,0.274326693245464,0.02612163871526718,120.0,fixed,50.0,4.0,1
burgers,grid,20.0,0.05,10.0,10.0,200.0,0.4513722406042193,0.031265996396541595,220.0,fixed,50.0,4.0,1
burgers,grid,20.0,0.05,10.0,10.0,300.0,0.21911442881109963,0.028035646304488182,320.0,fixed,50.0,4.0,1
burgers,grid,20.0,0.05,1.0,1.0,100.0,0.4976121116121517,0.014515441842377186,120.0,fixed,50.0,4.0,2
burgers,grid,20.0,0.05,1.0,1.0,200.0,0.2696719349834553,0.030137624591588974,220.0,fixed,50.0,4.0,2
burgers,grid,20.0,0.05,1.0,1.0,300.0,0.5669484226708696,0.015939798206090927,320.0,fixed,50.0,4.0,2
burgers,grid,20.0,0.05,1.0,10.0,100.0,0.42661237520172435,0.013535941950976849,120.0,fixed,50.0,4.0,2
burgers,grid,20.0,0.05,1.0,10.0,200.0,0.43308058072719463,0.009784906171262264,220.0,fixed,50.0,4.0,2
burgers,grid,20.0,0.05,1.0,10.0,300.0,0.380138010450825,0.01363319531083107,320.0,fixed,50.0,4.0,2
burgers,grid,20.0,0.05,10.0,1.0,100.0,0.2010974546951053,0.02740192599594593,120.0,fixed,50.0,4.0,2
burgers,grid,20.0,0.05,10.0,1.0,200.0,0.5229826129010455,0.036469895392656326,220.0,fixed,50.0,4.0,2
burgers,grid,20.0,0.05,10.0,1.0,300.0,0.49376844574416945,0.08471118658781052,320.0,fixed,50.0,4.0,2
burgers,grid,20.0,0.05,10.0,10.0,100.0,0.17172526261322554,0.01626715250313282,120.0,fixed,50.0,4.0,2
burgers,grid,20.0,0.05,10.0,10.0,200.0,0.3589491952498814,0.016214953735470772,220.0,fixed,50.0,4.0,2
burgers,grid,20.0,0.05,10.0,10.0,300.0,0.4738482128787081,0.030797269195318222,320.0,fixed,50.0,4.0,2
burgers,grid,20.0,0.05,1.0,1.0,100.0,0.20507465753334453,0.03754986450076103,120.0,fixed,50.0,4.0,3
burgers,grid,20.0,0.05,1.0,1.0,200.0,0.5131377004565909,0.024544496089220047,220.0,fixed,50.0,4.0,3
burgers,grid,20.0,0.05,1.0,1.0,300.0,0.23119681106691814,0.013664474710822105,320.0,fixed,50.0,4.0,3
burgers,grid,20.0,0.05,1.0,10.0,100.0,0.4832114048399277,0.014727460220456123,120.0,fixed,50.0,4.0,3
burgers,grid,20.0,0.05,1.0,10.0,200.0,0.3627991193420596,0.011948073282837868,220.0,fixed,50.0,4.0,3
burgers,grid,20.0,0.05,1.0,10.0,300.0,0.47277494712710794,0.01768822781741619,320.0,fixed,50.0,4.0,3
burgers,grid,20.0,0.05,10.0,1.0,100.0,0.46536680161826166,0.05142475664615631,120.0,fixed,50.0,4.0,3
burgers,grid,20.0,0.05,10.0,1.0,200.0,0.6187898116288438,0.08012305200099945,220.0,fixed,50.0,4.0,3
burgers,grid,20.0,0.05,10.0,1.0,300.0,0.21349326689607281,0.04828996956348419,320.0,fixed,50.0,4.0,3
burgers,grid,20.0,0.05,10.0,10.0,100.0,0.4509124229833043,0.025673670694231987,120.0,fixed,50.0,4.0,3
burgers,grid,20.0,0.05,10.0,10.0,200.0,0.3725669843327882,0.028688659891486168,220.0,fixed,50.0,4.0,3
burgers,grid,20.0,0.05,10.0,10.0,300.0,0.20764030460006275,0.03256171569228172,320.0,fixed,50.0,4.0,3
burgers,grid,20.0,0.05,1.0,1.0,100.0,0.46243515044495004,0.012152654118835926,120.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,1.0,1.0,200.0,0.6623103018969756,0.01800534315407276,220.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,1.0,1.0,300.0,0.2843309470289976,0.025765251368284225,320.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,1.0,10.0,100.0,0.5141823384564871,0.016964105889201164,120.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,1.0,10.0,200.0,0.49086874552895327,0.014946496114134789,220.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,1.0,10.0,300.0,0.5081811017425002,0.01828947104513645,320.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,10.0,1.0,100.0,0.22314095772246245,0.027761640027165413,120.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,10.0,1.0,200.0,0.3359457821247964,0.05435604229569435,220.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,10.0,1.0,300.0,0.3784884438540357,0.05822296068072319,320.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,10.0,10.0,100.0,0.3142249119220942,0.018943317234516144,120.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,10.0,10.0,200.0,0.40423680217832236,0.03250811994075775,220.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,10.0,10.0,300.0,0.4386021920707116,0.038213953375816345,320.0,fixed,50.0,4.0,4
